Sr_No,Category,Date,Subject,Status
"7.2.13","ADMINISTRATION","30.03.2021","Peer Review of Utility Shifting Works/ Estimates proposed by DPR Consultants-reg.","Pending"
"7.2.14","ADMINISTRATION","17.06.2022","Peer review of Utility Shifting Works/Estimates proposed by DPR Consultants:- Addendum to Policy Circular No 7.2.13/2021 ; Dated 30th March;2021 - reg.","Pending"
"7.2.15","ADMINISTRATION","08.07.2022","Guidelines for estimation of Shutdown charges for shifting of transmission power lines - reg.","Pending"
"7.2.16","ADMINISTRATION","20.09.2022","Decentralization of review/approval process of Utility Shifting Works/ Estimates","Pending"
"7.2.17","ADMINISTRATION","19.02.2025","Peer review of Utility Shifting Works/ Estimates proposed by DPR Consultants: - Addendum to Policy Circular No 7.2.13/2021 dated 30.03.2021 and Policy Circular No. 7.2.14/2022 dated 17.06.2022- reg.","Pending"
"7.2.2","ADMINISTRATION","27.07.2009","Inclusion of electrical utility shifting work in the BOQ of futre contracts as DPR stage of the Civil work.","Pending"
"7.2.3","ADMINISTRATION","5.10.2012","Procedure for processing of cases of Utility shifting.","Pending"
"7.2.4","ADMINISTRATION","07.03.2013","Issues related to Execution of Utility Shifting work in BOT contracts.","Pending"
"7.2.5","ADMINISTRATION","27.1.2014","Policy for sanction and payment of electrical utility shifting estimates.","Pending"
"7.2.6","ADMINISTRATION","30.12.2014","Delegation of Powers to CGMs regarding shifting of uitlities;extension of time in consultancy contracts and encashment/release of BGs.","Pending"
"7.2.7","ADMINISTRATION","19.09.2016","Procedure for processing of cases of Utility Shifting","Pending"
"7.2.8","ADMINISTRATION","06.03.2020","Inclusion of Utility Shifting works in the RFPs/Bids as part of Civil Construction under Hybrid Annuity and EPC mode -reg.","Pending"
"7.2.9","ADMINISTRATION","27.05.2020","Inclusion of Utility Shifting works in the RFPs/Bids of Civil Work Contracts on Hybrid Annuity & EPC Modes.","Pending"
"7.3.1","ADMINISTRATION","16.09.2004","Safety measures at approach roads to the ROBs which are under construction.","Pending"
"7.3.2","ADMINISTRATION","25.11.2008","Execution of ROBs- Design of superstructure.","Pending"
"7.3.3","ADMINISTRATION","04.01.2011","Grant of permission for construction of :\r\ni. ROBs/ RUBs by Railways and\r\nii. Flyover/under pass/ Foot over bridge/ canal crossing proposed by State Govt. Agencies across National Highways- Policy Guidelines thereof.","Pending"
"7.3.4","ADMINISTRATION","20.06.2011","Comprehensive Policy Guidelines of recommended procedure for Fast Track construction of ROBs/RUBs on NHDP and Expeditious clearances/ approval of ROBs/ RUBs GAD/ Structural Design & Drawing/TAD/CRS/ Speed restriction/ Traffic block/ signing Agreement/ Depositing of charges etc.","Pending"
"7.4.1","ADMINISTRATION","30.06.2006","Guidelines on implementation of the National Policy on Resettlement and Rehabilitation (NPRR)-reg.","Pending"
"7.4.10","ADMINISTRATION","06.04.2023","Regarding Nerium and Thevetia species plantations on National Highways","Pending"
"7.4.11","ADMINISTRATION","03.07.2023","Densification of Plantations including Planting of Bamboo; Initiating the Plantations in ROW from the Appointed date; Conservation of Existing Trees in ROW at the time of Initiating the Construction of Highway","Pending"
"7.4.12","ADMINISTRATION","12.07.2023","Role of Joint Advisors (Environment & Plantation) posted at ROs w.r.t Enumeration of trees; Identification of Compensatory Afforestation areas; preparation of Feasibility Study Report; Evaluation of alternative alignment etc and in preparation of reply to the Essential Details Sought by Forest Departments.","Pending"
"7.4.13","ADMINISTRATION","01.08.2023","Regarding Nerium and Thevetia species plantations on National Highways.-reg.","Pending"
"7.4.14","ADMINISTRATION","02.09.2024","Revised Standard Operating Procedure (SOP) for Implementation of Green Highways (Plantation; Transplantation; Beautification and Maintenance) Policy - 2015 - reg.","Pending"
"7.4.15","ADMINISTRATION","21.10.2024","Standard Operating Procedure (SOP) for Greening of National Highways through CSR Scheme of Plantation- reg.","Pending"
"7.4.16","ADMINISTRATION","19.12.2024","Specifications of Saplings for Avenue and Median plantations - reg.","Pending"
"7.4.17","ADMINISTRATION","22.05.2025","Revised Standard Operating Procedure (SOP) for Implementation of Green Highways (Plantation; Transplantation; Beautification and Maintenance) Policy - 2015 -reg.","Pending"
"7.4.18","ADMINISTRATION","11.06.2025","Institution of NHAI Green Highways Excellence Awards -reg.","Pending"
"7.4.2","ADMINISTRATION","07.10.2014","Plantation along completed stretches","Pending"
"7.4.3","ADMINISTRATION","13.07.2017","Guidelines for Implementing Green Highway Projects  -  reg.","Pending"
"7.4.4","ADMINISTRATION","24.07.2017","Implementation of Green Highway Projects - reg.","Pending"
"7.4.5","ADMINISTRATION","23.10.2017","Delegation of Powers to ROs for Green Highways Projects (Plantation; Transplantation; Beautification and Maintenance)","Pending"
"7.4.6","ADMINISTRATION","19.04.2022","Tree Transplantation Guidelines - Standard Operating Protocol (SOP)- reg.","Pending"
"7.4.7","ADMINISTRATION","12.07.2022","Specification for Avenue and Median Plantations  - reg.","Pending"
"7.4.8","ADMINISTRATION","06.10.2022","Specification for Avenue and Median Plantations - reg.","Pending"
"7.4.9","ADMINISTRATION","15.03.2023","Delinking Avenue Plantations from EPC/HAM/BOT Toll Projects.","Pending"
"7.5.1","ADMINISTRATION","09.03.2005","The Control of National Highways (Land & Traffic) Act;2002- Procedural Rules for National Highways Administration.","Pending"
"7.5.2","ADMINISTRATION","16.03.2020","Delegation of powers for matters pertaining Highway Administration to Regional officers of NHAI.","Pending"
"7.5.3","ADMINISTRATION","03.11.2020","Delegation of powers for matters pertaining Highway Administration to Regional Officers of NHAI.","Pending"
"8.1.1","ADMINISTRATION","17.05.2006","Guidelines for acceptance and award of single tenders","Pending"
"8.1.10","ADMINISTRATION","30.11.2010","Adjustmet of cost of RFQ and RFQ document","Pending"
"8.1.11","ADMINISTRATION","31.03.2011","Approval of bids for award of works under BOT (Annuity) mode","Pending"
"8.1.12","ADMINISTRATION","05.09.2011","Opneing of bids","Pending"
"8.1.13","ADMINISTRATION","20.07.2012","Delegation of Power for signing Letter of Intent (LOI);concession agreement;substitution agreement and ESCROW Agreement","Pending"
"8.1.14","ADMINISTRATION","16.7.2012","Delegation of Power during intermediate stages in Pre-qualification of bidders in procurement of PPP projects","Pending"
"8.1.15","ADMINISTRATION","21.05.2012","Award of Annuity Projects by NHAI","Pending"
"8.1.16","ADMINISTRATION","07.01.2013","Criteria for PPPAC approval","Pending"
"8.1.17","ADMINISTRATION","22.05.2014","Pre-appraisal meeting in Planning Commission.","Pending"
"8.1.18","ADMINISTRATION","20.06.2014","Appraisal of PPP projects standardize the formulation and appraisal parameters","Pending"
"8.1.19","ADMINISTRATION","27.05.2015","Delegation of powers for approval of bids for awrd of works under EPC/ item rate mode;OMT projects and collection of user fee.","Pending"
"8.1.2","ADMINISTRATION","01.08.2008","Approval regarding requiremnt of crane;mechanized broomer/dust sucker vehicle in O&M contracts and release of 75% payment for variation in BOQ items and provision of GPS and GIS.","Pending"
"8.1.20","ADMINISTRATION","19.09.2016","Approval of BOT (Toll) bids for award of works","Pending"
"8.1.21","ADMINISTRATION","15.02.2016","Delegation of powers for approval of bids for award of works under Hybrid Annuity mode","Pending"
"8.1.22","ADMINISTRATION","26.02.2016","Adherence to the time line stipulated in the RFQ document for PPP Projects","Pending"
"8.1.23","ADMINISTRATION","24.07.2017","Formation of Special Task Force to monitor timely procurements : Projects balance for award and projects awarded but appointed date not yet given.","Pending"
"8.1.24","ADMINISTRATION","28.07.2022","Schedule of Bidding Process to be included while inviting RFP - reg.","Pending"
"8.1.25","ADMINISTRATION","01.08.2022","Schedule of Bidding Process to be included while inviting RFP - reg.","Pending"
"8.1.26","ADMINISTRATION","26.08.2022","Schedule of Bidding Process to be included while inviting RFP - reg.","Pending"
"8.1.27","ADMINISTRATION","06.03.2024","Standard Replies of NHAI for Common Pre-bid queries in HAM Projects – reg.","Pending"
"8.1.3","ADMINISTRATION","13.10.2008","Handing over of completed 4-laned/6-laned sections to Corridor Management","Pending"
"8.1.4","ADMINISTRATION","22.04.2009","Problem related to the repair of road and using mechanical aids such as mechanized cutters and hot mix propelled in the bid document.","Pending"
"8.1.5","ADMINISTRATION","04.05.2009","The ongoing project award process.","Pending"
"8.1.6","ADMINISTRATION","22.01.2010","Approval of bids for the award of works.","Pending"
"8.1.7","ADMINISTRATION","17.03.2010","Amendments in RFP (Vol.I) vide Circular","Pending"
"8.1.8","ADMINISTRATION","26.04.2010","Submission of documents with RFQ Application- Clarification- Corrigendum-reg.","Pending"
"8.1.9","ADMINISTRATION","01.07.2010","Procurement of NHAI projects on BOT (Toll/Annuity) under PPP Mode: Total Project Cost (TPC) thereof.","Pending"
"8.2.1","ADMINISTRATION","08.12.2009","Financial close in BOT projects.","Pending"
"8.2.10","ADMINISTRATION","19.01.2022","Guidelines on the process to be followed for declaring Financial Close of all PPP Projects","Pending"
"8.2.2","ADMINISTRATION","16.12.2009","Signing of State Support Agreement.","Pending"
"8.2.3","ADMINISTRATION","12.05.2010","Scrutiny of Financial documents submitted by BOT concessionaires and declaration of Financial Close date.","Pending"
"8.2.4","ADMINISTRATION","16.06.2010","Procurement of NHAI Projects on BOT (Toll/Annuity) under PPP Mode: Opening of Escrow Account-Clarification thereof","Pending"
"8.2.5","ADMINISTRATION","09.09.2011","Financial closure of BOT projects.","Pending"
"8.2.6","ADMINISTRATION","24.01.2013","Non availability of forest clearance/wild life celarances for on going BOT (Toll) Projects affecting the issue of completion certificate/COD by NHAI.","Pending"
"8.2.7","ADMINISTRATION","29.5.2013","Non-fulfillment of conditions precedent under the Concession Agreement-Delay in submission of Performance Security","Pending"
"8.2.8","ADMINISTRATION","31.12.2018","Delegation of power for declaration of financial closure date for the project under HAM/PPP mode-reg.","Pending"
"8.2.9","ADMINISTRATION","03.06.2021","Guidelines on the process to be followed for declaring Financial Close of 	all PPP Projects","Pending"
"8.3.1","ADMINISTRATION","07.10.2008","(a) procedure for payment under Change of Scope Orders in case of BOT projects; and (b) Recovery of 20% of value of work not completed upon termination of contract on accountof default of the contractor as per Sub-CI 63.3 of COPA under NHDP Phase-II Standard Document.","Pending"
"8.3.10","ADMINISTRATION","24.08.2012","Contract Management of Concessions in NHAI projects","Pending"
"8.3.11","ADMINISTRATION","03.10.2012","Creation of & Maintenance of Master files for BOT projects in electronic form-reg.","Pending"
"8.3.12","ADMINISTRATION","11.10.2012","Guidelines for timely decision/settlment of issues related to projects","Pending"
"8.3.13","ADMINISTRATION","05.04.2013","Constitution of 3 GMs Committee for approval of detailed estimate for change of scope order","Pending"
"8.3.14","ADMINISTRATION","29.5.2013","Securitization of future cash flow in BOT (Toll) projects","Pending"
"8.3.15","ADMINISTRATION","4.6.2013","Policy on allowing construction of Reinforced Earth Retaining Wall (RET) for heights more than 6 m in DBFOT projects.","Pending"
"8.3.16","ADMINISTRATION","12.7.2013","Monitoring of Traffic on the Project Highway and various facilities under DBFOT (Toll/Annuity)/ OMT projects.","Pending"
"8.3.17","ADMINISTRATION","10.01.2014","Post award monitoring of PPP Projects.","Pending"
"8.3.18","ADMINISTRATION","6.2.2014","Contract Management: dealing with correspondence and notices in BOT Concessions.","Pending"
"8.3.19","ADMINISTRATION","20.06.2014","Issue of policy guidelines for delegation of powers for approval of Change of Scope (COS) in BOT National Highway Projects- (Revised)","Pending"
"8.3.2","ADMINISTRATION","19.01.2010","Maintenance of existing roads in traffic worthy condition in PPP projects.","Pending"
"8.3.20","ADMINISTRATION","08.07.2014","Strict compliance of procedure to deal with correspondences and notices in BOT Concessions.","Pending"
"8.3.21","ADMINISTRATION","31.07.2014","Construction of public facility i.e. Traffic Aid Post;Medical Aid Post and washroom;at Toll Plazas along NHs and Maintenance thereof under OMT;BOT (Toll ) & BOT (Annuity) Contracts.","Pending"
"8.3.22","ADMINISTRATION","09.10.2014","Operation and Maintenance of PPP projects on BOT (Toll)/ Annuity mode during Operation Period.","Pending"
"8.3.23","ADMINISTRATION","10.10.2014","Repair and maintenance of entrusted highway stretches","Pending"
"8.3.24","ADMINISTRATION","18.11.2014","Issue of Provisional Completion Certificate/Completion Certificate","Pending"
"8.3.25","ADMINISTRATION","20.04.2015","Provisional Completion Certificate/Completion Certificate for BOT projects","Pending"
"8.3.26","ADMINISTRATION","24.04.2015","Non-availability of Forest Clearances/Wild Life Clerances for on-going BOT (Toll) projects affecting the issue of Compeltion Certificate/COD by NHAI.","Pending"
"8.3.27","ADMINISTRATION","24.04.2015","Issuance of Completion Certificate or Provisional Completion Certificate in respect of PPP Projects.","Pending"
"8.3.28","ADMINISTRATION","22.05.2015","Issuance of completion certificate or Provisional Completion Certificate in respect of PPP Projects.","Pending"
"8.3.29","ADMINISTRATION","21.12.2015","Issuance of Completion Certificate or Provisional Completion Certificate in respect of PPP project by Independent Engineer.","Pending"
"8.3.3","ADMINISTRATION","06.07.2010","Timelines for processing of extension or damages caes for completion of various milestones on BOT Projects under PPP mode.","Pending"
"8.3.30","ADMINISTRATION","02.05.2016","Interpretation regarding change of scope on account of changes caused for Railways while approving the General Arrangement Drawsings in BOT Projects","Pending"
"8.3.31","ADMINISTRATION","20.09.2017","Securitization of future cash flow in BOT (Annuity) Projects.","Pending"
"8.3.32","ADMINISTRATION","05.02.2018","Establishment of Rational-cum-Pragmatic Settlement Approach for calculating the amount of damages to be imposed on the Concessionaire of BOT (Toll/Annuity) projects on account of delay in periodic maintenance work-reg.","Pending"
"8.3.33","ADMINISTRATION","26.05.2020","Relief Measures to the BOT (Toll) Concessionaires from the impact of COVID-19 - reg.","Pending"
"8.3.34","ADMINISTRATION","10.06.2020","Guidelines for determination of Cost of Change of Scope (COS)/ Reduction in Scope (RIS) due to Withdrawal of works/ Alteration(Change/omission in existing item) in Works in Hybrid Annuity Mode (HAM) Projects- Applicable Schedule of Rates; Design Charges; Maintenance Charges regarding.","Pending"
"8.3.35","ADMINISTRATION","09.07.2020","HAM Projects - SoP for removing from the scope of work the remaining site not provided to Concessionaire within the period of the Appointed Date plus 20% of construction period.","Pending"
"8.3.36","ADMINISTRATION","10.07.2020","Guidelines for determination of Cost of Change of Scope (COS)/Reduction in Scope (RIS)/Withdrawal of works/Alteration (Change/omission in existing item) in Works in DBFOT Projects- Applicable Schedule of Rates; Design Charges and Maintenance Charges-Regarding.","Pending"
"8.3.37","ADMINISTRATION","14.08.2020","HAM Projects- SoP on Reduction in Scope of the Project Works in remaining sites not provided within the period of AD + 20% of CP","Pending"
"8.3.38","ADMINISTRATION","16.09.2020","Relief to the OMT Concessionaires relating to force majeure in the concession agreement due to COVID-19.","Pending"
"8.3.39","ADMINISTRATION","31.12.2020","Relaxation in the Change of Ownership clause in Hybrid Annuity Model (HAM) Projects after 6 months of completion – reg.","Pending"
"8.3.4","ADMINISTRATION","8.11.2010","Provision for overloading of vehicles in the Model Concession Agreement (MCA)","Pending"
"8.3.40","ADMINISTRATION","02.07.2021","Policy Circular on forceful stoppage of toll collection at toll plazas on NH due to Farmer’s Agitation. – Relief to be provided to BOT (Toll) concessionaires.","Pending"
"8.3.41","ADMINISTRATION","24.08.2021","Serious Delays in taking in-principle approvals of Change of Scope (COS) & Reduction in Scope (RIS)- reg.","Pending"
"8.3.42","ADMINISTRATION","10.12.2021","Clarification on status of claims / accrued claims post transfer of 100% shares in the PPP Projects","Pending"
"8.3.43","ADMINISTRATION","17.01.2022","Expenditure to be taken into account while considering a proposal for releasing Performance Security in reference to Article 9.3 of Model Concession Agreement (MCA) of Hybrid Annuity Mode (HAM) project","Pending"
"8.3.44","ADMINISTRATION","19.04.2022","Methodology for calculation of Force Majeure Cost arising due to Farmer Agitation as Indirect Political Event under clause 34.7 of Concession Agreement- reg.","Pending"
"8.3.45","ADMINISTRATION","16.11.2023","Amendment to NHAI/Policy Guidelines/ PPP (DBFOT) No. 8.3.36/2020 dated 10.07.2020 -reg.","Pending"
"8.3.46","ADMINISTRATION","03.09.2024","Clarification and Methodology to be adopted for acceptance of Boundary Wall constructed along ROW (Right of Way) in Greenfield Alignments on NHs/Expressways - reg.","Pending"
"8.3.47","ADMINISTRATION","22.11.2024","Delegation of Power for release of 75% compensation towards Force Majeure Cost Claims arising due to Farmer Agitation as Indirect Political Event under BOT (Toll) Concessions -reg.","Pending"
"8.3.5","ADMINISTRATION","03.02.2011","Ceiling on Variations/ Change in Scope for BOT contracts.","Pending"
"8.3.6","ADMINISTRATION","06.06.2011","Contract Agreements (EPC Works)/ Concessino Agreeemnts (BOT/ Annuity Projects)/ Consultancy Agreements for Feasibility Study & DPR/ Supervision Consultancy and Agreements for Independent Consultancy Services- Authorized Representative of Employer (NHAI)","Pending"
"8.3.7","ADMINISTRATION","2.11.2011","Monitoring of PPP projects as per Guidelines issued by Planning Commission","Pending"
"8.3.8","ADMINISTRATION","04.07.2012","Delegation of Powers with respect to Change of Scope in PPP projects.","Pending"
"8.3.9","ADMINISTRATION","30.07.2012","Claims of the Concessionaires/ Contractors in the ongoing BOTEPC projects","Pending"
"8.4.1","ADMINISTRATION","20.05.2009","Re-structuring and rationalizing the project cost of PPP projects and re-bidding.","Pending"
"8.4.10","ADMINISTRATION","09.06.2015","Permitting 100% equity divestment after two years of construction completion for all BOT projects irrespective of year of award.","Pending"
"8.4.11","ADMINISTRATION","06.07.2015","Clarifications regarding release of Viability Gap Funding (VGF)","Pending"
"8.4.12","ADMINISTRATION","09.09.2015","Permitting 100% equity divestment after two years of construction completion for all BOT projects irrespective of year of award.","Pending"
"8.4.13","ADMINISTRATION","19.11.2015","Permitting 100% equity divestment after two years of construction completion for all BOT projects irrespective of year of award.","Pending"
"8.4.14","ADMINISTRATION","19.01.2016","Rationalised compensation to concessionaires in case of delay not attributable to Concessionaires for languishing highway projects on BOT mode","Pending"
"8.4.15","ADMINISTRATION","20.06.2017","Clarifications regarding release of Viability Gap Funding (VGF).","Pending"
"8.4.16","ADMINISTRATION","10.08.2017","Payment of concession fees during subsistence of force mujeure and interpretation of relevant clauses relating to force majeure in the concession agreement.","Pending"
"8.4.17","ADMINISTRATION","13.03.2018","Standard Operating Procedure (SoP) for providing relief to Concessionaries on account of suspension of collection of user fee due to demonetization of Rs. 500 and Rs. 1000 currency notes ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“reg.","Pending"
"8.4.18","ADMINISTRATION","15.10.2018","Policy circular- Delegation of power for Permitting 100% equity divestment after two years of construction completion for all BOT projects Irrespective of year of award- Reg.","Pending"
"8.4.19","ADMINISTRATION","24.02.2020","Qualification criteria in case of Harmonious Substitutions of existing Concessionaires or selected bidders/consortiums by Fund Houses","Pending"
"8.4.2","ADMINISTRATION","26.07.2012","Classification of debt as Secured and Unsecured","Pending"
"8.4.20","ADMINISTRATION","26.05.2020","COVID-19 Loan to the BOT (Toll) Concessionaires ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ reg.","Pending"
"8.4.21","ADMINISTRATION","26.11.2020","Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4.","Pending"
"8.4.22","ADMINISTRATION","02.12.2020","Clarification on calculation of Price Index Multiple in HAM Projects - reg.","Pending"
"8.4.23","ADMINISTRATION","05.01.2021","Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4","Pending"
"8.4.24","ADMINISTRATION","03.02.2021","Internal Guidelines for calculation of Termination Payments of Road Projects on BOT (Toll) Mode.","Pending"
"8.4.25","ADMINISTRATION","02.03.2021","Policy circular for processing refinancing proposal for PPP Projects.","Pending"
"8.4.26","ADMINISTRATION","04.03.2021","Internal Guidelines for calculation of Termination Payments of Road Projects on BOT (Toll) Mode-Modification to the Internal Guidelines No. 8.4.24/2021 dated 03.02.2021.","Pending"
"8.4.27","ADMINISTRATION","07.04.2021","Interest Rate applicable for HAM Projects- Interest under Article 23.06.4-reg.","Pending"
"8.4.28","ADMINISTRATION","02.07.2021","Interest Rate applicable for HAM Projects- Interest under Article 23.6.4","Pending"
"8.4.29","ADMINISTRATION","06.10.2021","Interest Rate applicable for HAM Projects- Interest under Article 23.6.4- reg.","Pending"
"8.4.3","ADMINISTRATION","17.7.2013","Harmonious substitution of existing concessionaires or the selected bidder/consortium members","Pending"
"8.4.30","ADMINISTRATION","14.10.2021","Interest Rate applicable for HAM Projects- Interest under Article 23.6.4","Pending"
"8.4.31","ADMINISTRATION","12.01.2022","Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4- reg","Pending"
"8.4.32","ADMINISTRATION","08.04.2022","Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4- reg","Pending"
"8.4.33","ADMINISTRATION","27.05.2022","SOP to check Escrow Defaults & strengthening of NHAI defense against Claims of Concessionaire in Conciliation or / and Arbitration matters – reg.","Pending"
"8.4.34","ADMINISTRATION","07.07.2022","Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4 - reg.","Pending"
"8.4.35","ADMINISTRATION","12.10.2022","Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4 - reg.","Pending"
"8.4.36","ADMINISTRATION","08.12.2022","Guidelines on the process to be followed by for filling of Authority Claims with IRP/RP Under The Insolvency and bankruptcy code;2016 (hereinafter “IBC2016”) - reg.","Pending"
"8.4.37","ADMINISTRATION","10.01.2023","Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4","Pending"
"8.4.38","ADMINISTRATION","13.02.2023","Supplementary agreement for 100% change of shareholding & refinancing in respect of PPP Projects-reg.","Pending"
"8.4.39","ADMINISTRATION","25.04.2023","Interest Rate Applicable for HAM Projects- Interest under Clause 23.6.4","Pending"
"8.4.4","ADMINISTRATION","13.9.2013","Restructuring/refinancing of debt","Pending"
"8.4.40","ADMINISTRATION","27.04.2023","Supplementary Agreement for 100% Change of Shareholding & Refinancing in Respect of PPP Projects","Pending"
"8.4.41","ADMINISTRATION","10.07.2023","एचएएम परियोजनाओं के लिए लागू ब्याज दर-खंड 23.6.4 के तहत ब्याज","Pending"
"8.4.42","ADMINISTRATION","10.10.2023","एचएएम परियोजनाओं के लिए लागू ब्याज दर-खंड 23.6.4 के तहत ब्याज.","Pending"
"8.4.43","ADMINISTRATION","05.01.2024","Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4-reg.","Pending"
"8.4.44","ADMINISTRATION","08.04.2024","Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4-reg.","Pending"
"8.4.45","ADMINISTRATION","08.07.2024","Interest Rate Applicable for HAM Projects-Interest under clause 23.6.4-reg.","Pending"
"8.4.46","ADMINISTRATION","04.10.2024","Interest Rate Applicable for HAM Projects - Interest under clause 23.6.4","Pending"
"8.4.47","ADMINISTRATION","05.12.2024","Clarification regarding payment adjusted to the Price Index Multiple as applicable on the Reference Index Date during Construction Period as per Clause 23.4 vis-a-vis provisions under Clause 12.3.2 0f MCA of HAM Projects","Pending"
"8.4.48","ADMINISTRATION","06.01.2025","Interest Rate Applicable for HAM Projects - Interest under clause 23.6.4-reg.","Pending"
"8.4.49","ADMINISTRATION","26.04.2025","Interest Rate Applicable for HAM projects -Interest under clause 23.6.4.reg.","Pending"
"8.4.5","ADMINISTRATION","5.11.2013","Restructuring/ refinancing of the debt in the highway projects reg.","Pending"
"8.4.50","ADMINISTRATION","21.06.2025","Revised Delegation of Power for Refinancing/ Restructuring in PPP Projects (HAM)-Reg.","Pending"
"8.4.51","ADMINISTRATION","03.07.2025","Interest Rate Applicable for HAM Projects - Interest under clause 23.6.4-reg.","Pending"
"8.4.6","ADMINISTRATION","18.11.2013","Re-financing/ Re-structuring of loan-NOC reg.","Pending"
"8.4.7","ADMINISTRATION","29.1.2014","Harmonious substitution of existing concessionaires or the selected bidder/consortium members","Pending"
"8.4.8","ADMINISTRATION","24.07.2014","Structuring/ Re-structuring of projects","Pending"
"8.4.9","ADMINISTRATION","09.06.2015","One time fund infusion to revive and physically complete languishing BOT projects.","Pending"
"9.1.1","ADMINISTRATION","16.02.2005","Inclusion of Bonus for early completion into Standard Bidding Document for the Civil Work Contracts for NHDP Phase-II","Pending"
"9.1.10","ADMINISTRATION","27.12.2016","Engagement of Financial Consultant for Projects to be implemented on EPC mode-Maintenance of Roster- reg.","Pending"
"9.1.11","ADMINISTRATION","06.06.2019","Dispensation of physical submission of Bid in various procurement methods - Amendment to RFP clauses -reg.","Pending"
"9.1.12","ADMINISTRATION","10.03.2022","Assessment of existing commitments of prospective bidders in EPC projects subsequent to issue of NHAI Policy Guidelines No. 11.32/2021 dated 07.12.2021 to the extent of clause 2.2.2.1 of standard RFP for EPC projects","Pending"
"9.1.13","ADMINISTRATION","03.06.2022","List of Provisionally Qualified Bidders for EPC; HAM and BOT (Toll) Projects to avoid repetitive examination of bidding documents by Technical Divisions - reg.","Pending"
"9.1.14","ADMINISTRATION","10.11.2023","Clarification on calculation of Base Date","Pending"
"9.1.15","ADMINISTRATION","21.12.2023","List of Provisionally Qualified Bidders for EPC Projects to avoid repetitive examination of biding documents by Technical Divisions","Pending"
"9.1.16","ADMINISTRATION","21.12.2023","List of Provisionally Qualified Bidders for HAM Projects to avoid repetitive examination of biding documents by Technical Divisions","Pending"
"9.1.2","ADMINISTRATION","17.05.2006","Guidelines for acceptance and award of single tenders.","Pending"
"9.1.3","ADMINISTRATION","06.06.2006","Evaluation of bid capacity for EPC Contracts (NHAI funded) -reg.","Pending"
"9.1.4","ADMINISTRATION","14.01.2008","Monitoring of Project Directors working with CM division and review of progress of O & M activities.","Pending"
"9.1.5","ADMINISTRATION","25.08.2008","Evaluation of RFQ and legalization of power of attorney in respect of foreign applicant member reg.","Pending"
"9.1.6","ADMINISTRATION","11.11.2008","Incorporation of agreement item in future works.","Pending"
"9.1.7","ADMINISTRATION","08.04.2013","Delegation of powers for approval of bids for award of works unde EPC/Item rate mode;OMT projects and Collection of User fee.","Pending"
"9.1.8","ADMINISTRATION","19.03.2014","Consideration of RFAQ -2013 results declared by MORT&H in the RFQ of EPC projects of NHAI - reg.","Pending"
"9.1.9","ADMINISTRATION","15.02.2016","Revision in Delegation of Powers for approval of bids for award of works under EPC/item rate","Pending"
"9.2.1","ADMINISTRATION","21.05.1997","Measurement Books","Pending"
"9.2.10","ADMINISTRATION","25.03.2011","Procedure for submission/approval of proposals for Variation/Executive Committee meetings.","Pending"
"9.2.11","ADMINISTRATION","1.03.2011","Policy Decisions taken by Executive Committee in its meeting held on 22.02.2011 are conveyed for strict compliance","Pending"
"9.2.12","ADMINISTRATION","01.06.2011","Policy on prsenting the cosolidated EOT & variation proposals of completed projects the Variation Committee.","Pending"
"9.2.13","ADMINISTRATION","06.06.2011","Contract Agreements (EPC Works)/ Concessino Agreeemnts (BOT/ Annuity Projects)/ Consultancy Agreements for Feasibility Study & DPR/ Supervision Consultancy and Agreements for Independent Consultancy Services- Authorized Representative of Employer (NHAI)","Pending"
"9.2.14","ADMINISTRATION","25.08.2011","Price adjustment in Item Rate Contracts of NHAI-reg","Pending"
"9.2.15","ADMINISTRATION","30.07.2012","Claims of the Concessionaires/ Contractors in the ongoing BOTEPC projects","Pending"
"9.2.16","ADMINISTRATION","31.07.2014","Check list for monitoring of EPC contracts","Pending"
"9.2.17","ADMINISTRATION","10.10.2014","Repair and maintenance of entrusted highway stretches","Pending"
"9.2.18","ADMINISTRATION","7.09.2015","Release of Additional performance Security in item rate contracts.","Pending"
"9.2.19","ADMINISTRATION","25.04.2016","Issue of policy guidelines for delegation of powers for approval of Change of Scope (CoS) in EPC National Highway Projects","Pending"
"9.2.2","ADMINISTRATION","02.03.2000","Delegation of Powers for managing Civil Works and Supervision Consultancy Contracts.","Pending"
"9.2.20","ADMINISTRATION","02.08.2016","Revised delegation of power with respect of Operation & Maintenance (O&M) works for (4/6 lane) stretches maintained by NHAI","Pending"
"9.2.21","ADMINISTRATION","26.08.2016","Amount of Insurance against injury to persons and damage to property under sub clause 3.1 of Schedule-P of Contract Agreement on EPC mode","Pending"
